Product_ID,Product Name,Company,Listing Price,Sale Price,Rating,Discount %,value,Description
AT6817-300,Nike Air VaporMax 2019 Premium,Nike,170,136,5.0,20,34.0,"The Nike Air VaporMax 2019 Premium Shoe wraps your foot in stretchy woven material that gives structure and support to your stride. Underfoot, the lightest, most flexible Air Max cushioning to date gives a super-bouncy sensation that rivals running on air. Metallic Silver accents spark a sense of style."
CD0431-107,NikeCourt Air Zoom Vapor Cage 4,Nike,130,130,4.7,0,28.0,The NikeCourt Air Zoom Vapor Cage 4 is innovated to last. Rubber and flexible plastic are built to withstand your toughest matches while a unique lacing system keeps your laces hidden for extra durability.
AV4052-116,Air Jordan 1 Nova XX,Nike,105,105,5.0,0,21.0,"Featuring an internal 1/2 sleeve construction, the Air Jordan 1 Nova XX Shoe offers a snug fit without traditional laces. Underfoot, an Air-Sole unit at the heel provides lightweight cushioning that moves with you all day long."
CK4122-100,Nike Air Max Tailwind IV,Nike,160,112,3.561158724717176,30,45.0,"Still the world and let your attitude shine in the Nike Air Max Tailwind IV. Highly influenced by the bad girl of Air, the Air Max Plus, it refreshes the '90s classic with reflective details that take the OG's fading to new levels. A richly textured upper uses mesh and high-gloss leather, while the crisp white midsole features bursts of visible cushioning for comfort and boundless energy."
AQ7483-001,Nike Flex RN 2019,Nike,70,70,4.5,0,16.0,"The stretchable knit upper of the Nike Flex RN 2019 wraps you in softness as it expands and contracts with your foot. Dual-density foam layers supply durable cushioned comfort, while grooves on the outsole give you heel-to-toe flexibility."
CD8526-446,Nike Free X Metcon 2,Nike,100,100,3.0,0,33.0,
CJ1292-703,Nike Mercurial Vapor 13 Academy MDS MG,Nike,75,75,3.561158724717176,0,21.0,Dream of speed and play fast in the Nike Mercurial Vapor 13 Academy MDS MG. A streamlined upper combines with a specialised soleplate for high-speed play and supercharged traction.
CI1396-004,Nike Air Max Impact,Nike,80,80,5.0,0,16.0,"The Nike Air Max Impact infuses bold, expressive details into a design that's a beast on the court. Responsive cushioning helps soften hard landings, while the moulded heel clip and dual-strap system combine for a lightweight, locked-in feel."
807471-103,Nike Classic Cortez,Nike,70,70,4.5,0,16.0,"The Nike Classic Cortez Women's Shoe is Nike's original running shoe, designed by Bill Bowerman and released in 1972. This version features a leather and synthetic leather construction for added durability."
CJ1794-600,Nike Air Max 90 Premium,Nike,120,120,5.0,0,24.0,"The Nike Air Max 90 Premium pays tribute to the steadfast Royal Mail workers in London. Nike Air cushioning provides comfort for all-day wear, while fabric and leather on the upper combine breathability with durability. Details like crowns on the laces and colours inspired by Royal Mail uniforms nod to those who deliver day in and day out."
CK6360-001,Nike Renew Run,Nike,70,70,4.8,0,15.0,"The Nike Renew Run keeps you moving with softer foam for a cushioned feel. Designed with the everyday runner in mind, this shoe delivers secure support and durable traction for comfort on the go."
CQ6549-001,Nike Air Max 270 Special Edition,Nike,150,150,5.0,0,30.0,Find unstoppable comfort in the Nike Air Max 270. The eye-catching Max Air 270 unit and Nike React foam midsole deliver cushioning that moves with you. A soft and minimal collar contours to your heel for an amazing fit. A glow-in-the-dark colourway celebrates the New Year.
AR5339-002,Nike Air Force 1 Sage Low,Nike,90,90,4.5,0,20.0,"Taking both height and craft to new levels, the Nike Air Force 1 Sage Low features a platform midsole and a pared-down upper for a bold yet feminine look."
